N,P,K,temperature,humidity,rainfall,ph,label
185,35.6,224.3,20,71,900,6.5,rice
149,60.3,24.6,21,72,950,6.4,rice
220,51.8,239.3,22,73,1000,7.3,rice
180,52,192.2,23,74,1050,7.2,rice
215,42.5,140.3,24,75,1100,6.9,rice
179,32.7,284.7,15,51,500,8.2,wheat
230,38.1,280.2,26,61,1000,7.8,sugarcane
218,44.2,284.1,16,52,600,7.3,wheat
288,42.3,284.1,17,53,700,8.2,wheat
268,49.2,270.1,18,54,800,8.1,wheat
212,32.4,181.9,22,62,1100,7.2,sugarcane
229,35.1,110.2,24,63,1200,8,sugarcane
252,34.2,224.2,23,64,1300,8.3,sugarcane
218,34.1,119.8,25,65,1400,7.2,sugarcane
212,32.4,181.9,26,66,1500,7.2,sugarcane
140,28.4,200.4,14,55,400,7,barley
160,30.2,185.6,16,57,450,6.8,barley
175,31.5,170.2,18,59,550,7.1,barley
190,33.7,190.8,19,61,600,7.3,barley
145,29.1,178.5,21,63,750,7.5,maize
155,32.8,160.3,23,66,800,7.4,maize
165,34.5,155.4,25,68,850,7.2,maize
180,36.2,142.8,27,70,900,7.1,maize
195,37.8,120.3,28,72,1000,7,maize
200,39.5,135.9,20,60,1050,7.3,mustard
210,41.2,145.2,22,62,1100,7.5,mustard
220,38.4,165.8,24,64,1150,7.6,mustard
195,35.6,175.3,26,67,1200,7.8,mustard
205,37.1,185.2,19,69,1250,7.9,pulses
215,39.3,190.4,21,71,1300,7.2,pulses
